X,Y,first_city,city,id
-107.23847359039,40.4848275414725,Hayden,35070,62
-103.472691548591,39.1361691142429,Hugo,37875,63
-105.059396630454,38.9984844096505,Woodland Park,86090,64
-104.706165080413,40.348480306219,La Salle,43605,65
-102.858749125376,37.3700091277124,Pritchett,61315,66
-107.77310624176,39.5360406449044,Rifle,64255,67
-105.251550614425,40.0272932622885,Boulder,07850,68
-104.846098977996,39.0732272153702,Monument,51800,69
-103.663312038755,38.2327733991268,Sugar City,74815,70
-102.962138575305,40.1501287571028,Otis,56365,71
-102.471768927012,40.6127582138221,Paoli,57245,72
-103.547741398819,37.978960058362,La Junta,42110,73
-105.268858115806,40.2228574781132,Lyons,47070,74
-104.727104610915,40.0117006591956,Lochbuie,45530,75
-108.566610185772,38.218333621298,Naturita,53120,76
-104.912793273122,38.8576141410263,Manitou Springs,48445,77
-105.220215072208,38.4430580550661,Ca?on City,11810,78
-105.111978143792,38.3835604824943,Florence,27040,79
-106.908587459505,40.1530151539337,Yampa,86475,80
-105.424119917762,37.2007318342497,San Luis,68105,81
-103.627834553544,38.0141147626966,Swink,75970,82
-107.857547720343,37.9323439805753,Mountain Village,52550,83
-106.924639354559,38.5489778665956,Gunnison,33640,84
-105.102942704353,39.7727498960422,Wheat Ridge,84440,85
-105.099661822004,39.9946744960353,Lafayette,41835,86
-103.499309647814,39.2782641182615,Genoa,29680,87
-105.170993350454,38.38400555239,Williamsburg,85155,88
-108.291818010346,38.1290515197796,Norwood,54880,89
-107.894444227497,40.0499879914125,Meeker,49875,90
-103.866808691751,38.1087674645033,Manzanola,48500,91
-108.077281819099,38.7561129794807,Delta,19850,92
-104.621449188528,40.0898276498528,Hudson,37820,93
-108.907179604409,37.7668666817465,Dove Creek,21265,94
-107.591982201552,38.8697577846947,Paonia,57300,95
-104.796088718275,39.9716115627577,Brighton,08675,96
-102.447416294193,37.3736642608479,Vilas,81030,97
-105.141906329235,38.708701080335,Victor,80865,98
-105.144019580404,39.9709492909529,Louisville,46355,99
-103.944491439733,38.1662739024186,Olney Springs,55705,100
-104.428527421126,39.7363578652689,Bennett,06090,101
-108.031672829445,37.6890811994085,Rico,64090,102
-107.526808694174,39.5775844191046,New Castle,53395,103
-105.867648643956,39.5814881502921,Montezuma,51690,104
-107.713381685872,38.7989509189535,Hotchkiss,37545,105
-102.312236323505,38.0631927054859,Granada,31550,106
-104.788312676114,40.713256349548,Nunn,55045,107
-106.924121878908,37.8450323614537,City of Creede,14765,108
-104.833607041203,40.2219921891597,Platteville,60160,109
-102.423414402647,39.3038223445282,Bethune,06530,110
-106.043226305056,39.4994952412228,Breckenridge,08400,111
-104.258091637131,38.2494540118772,Boone,07795,112
-105.465400855677,38.1339319652781,Westcliffe,83450,113
-105.062407879934,39.8836695867616,Westminster,83835,114
-103.632021915852,40.2581472596622,Brush,09555,115
-104.523297570205,37.1168201724053,Starkville,73715,116
