City/Town Name:,Type:,LG ID:,FIPS:,Census MRF:,Counties:
"Estes Park, Town of",Statutory Towns,35004,25115,405,Larimer
"Fort Collins, City of",Home Rule Municipalities,35009,27425,455,Larimer
"Loveland, City of",Home Rule Municipalities,35026,46465,830,Larimer
"Timnath, Town of",Home Rule Municipalities,35044,77510,1290,Larimer
"Wellington, Town of",Statutory Towns,35047,83230,1345,Larimer
"Aguilar, Town of",Statutory Towns,36001,760,5,Las Animas
"Branson, Town of",Statutory Towns,36002,8345,120,Las Animas
"Cokedale, Town of",Statutory Towns,36004,15550,230,Las Animas
"Kim, Town of",Statutory Towns,36005,40570,713,Las Animas
"Starkville, Town of",Statutory Towns,36010,73715,1245,Las Animas
"Trinidad, City of",Home Rule Municipalities,36011,78610,1295,Las Animas
"Arriba, Town of",Statutory Towns,37002,3235,35,Lincoln
"Genoa, Town of",Statutory Towns,37004,29680,515,Lincoln
"Hugo, Town of",Statutory Towns,37006,37875,655,Lincoln
"Limon, Town of",Statutory Towns,37007,44980,800,Lincoln
"Crook, Town of",Statutory Towns,38002,18640,285,Logan
"Fleming, Town of",Statutory Towns,38005,26875,445,Logan
"Iliff, Town of",Statutory Towns,38007,38590,670,Logan
"Merino, Town of",Statutory Towns,38011,50040,880,Logan
"Peetz, Town of",Statutory Towns,38016,58235,1040,Logan
"Sterling, City of",Home Rule Municipalities,38019,73935,1255,Logan
"Collbran, Town of",Statutory Towns,39011,15605,235,Mesa
"De Beque, Town of",Statutory Towns,39012,19355,300,Mesa
"Fruita, City of",Home Rule Municipalities,39014,28745,505,Mesa
"Grand Junction, City of",Home Rule Municipalities,39020,31660,555,Mesa
"Palisade, Town of",Statutory Towns,39034,56970,1020,Mesa
"Creede, City of",Statutory Towns,40001,14765,265,Mineral
"Craig, City of",Home Rule Municipalities,41004,17760,255,Moffat
"Dinosaur, Town of",Statutory Towns,41005,20495,332,Moffat
"Cortez, City of",Home Rule Municipalities,42004,17375,250,Montezuma
"Dolores, Town of",Statutory Towns,42008,20770,335,Montezuma
"Mancos, Town of",Statutory Towns,42016,48115,845,Montezuma
"Montrose, City of",Home Rule Municipalities,43004,51745,910,Montrose
"Naturita, Town of",Statutory Towns,43005,53120,930,Montrose
"Nucla, Town of",Statutory Towns,43007,54935,955,Montrose
"Olathe, Town of",Statutory Towns,43012,55540,970,Montrose
"Brush, City of",Statutory Cities,44001,9555,150,Morgan
"Fort Morgan, City of",Home Rule Municipalities,44006,27810,470,Morgan
"Hillrose, Town of",Statutory Towns,44007,36610,620,Morgan
"Log Lane Village, Town of",Statutory Towns,44009,45695,815,Morgan
"Wiggins, Town of",Statutory Towns,44016,84770,1363,Morgan
"Cheraw, Town of",Statutory Towns,45001,13460,205,Otero
"Fowler, Town of",Statutory Towns,45004,27975,480,Otero
"La Junta, City of",Home Rule Municipalities,45007,42110,745,Otero
"Manzanola, Town of",Statutory Towns,45009,48500,855,Otero
"Rocky Ford, City of",Statutory Cities,45014,65190,1135,Otero
"Swink, Town of",Statutory Towns,45015,75970,1275,Otero
"Ouray, City of",Home Rule Municipalities,46007,56420,1005,Ouray
"Ridgway, Town of",Home Rule Municipalities,46009,64200,1120,Ouray
"Alma, Town of",Statutory Towns,47001,1530,20,Park
"Fairplay, Town of",Statutory Towns,47005,25610,425,Park
"Haxtun, Town of",Statutory Towns,48004,34960,610,Phillips
"Holyoke, City of",Home Rule Municipalities,48005,37270,630,Phillips
"Paoli, Town of",Statutory Towns,48006,57245,1030,Phillips
"Aspen, City of",Home Rule Municipalities,49006,3620,45,Pitkin
"Snowmass Village, Town of",Home Rule Municipalities,49012,71755,1236,Pitkin
"Granada, Town of",Statutory Towns,50007,31550,545,Prowers
"Hartman, Town of",Statutory Towns,50008,34520,600,Prowers
"Holly, Town of",Statutory Towns,50011,37215,625,Prowers
"Lamar, City of",Home Rule Municipalities,50012,43110,765,Prowers
"Wiley, Town of",Statutory Towns,50017,85045,1365,Prowers
"Boone, Town of",Statutory Towns,51005,7795,105,Pueblo
"Pueblo, City of",Home Rule Municipalities,51016,62000,1085,Pueblo
"Rye, Town of",Statutory Towns,51018,66895,1150,Pueblo
"Meeker, Town of",Statutory Towns,52007,49875,875,Rio Blanco
"Rangely, Town of",Statutory Towns,52015,62880,1095,Rio Blanco
"Del Norte, Town of",Statutory Towns,53002,19795,310,Rio Grande
"Monte Vista, City of",Home Rule Municipalities,53005,51635,900,Rio Grande
"South Fork, Town of",Statutory Towns,53013,72395,1237,Rio Grande
"Hayden, Town of",Home Rule Municipalities,54005,35070,615,Routt
"Oak Creek, Town of",Statutory Towns,54010,55155,965,Routt
"Steamboat Springs, City of",Home Rule Municipalities,54023,73825,1250,Routt
"Yampa, Town of",Statutory Towns,54030,86475,1390,Routt
"Bonanza City, Town of",Statutory Towns,55002,7571,100,Saguache
"Crestone, Town of",Statutory Towns,55004,18420,275,Saguache
"Moffat, Town of",Statutory Towns,55005,51250,895,Saguache
"Saguache, Town of",Statutory Towns,55008,67005,1155,Saguache
"Silverton, Town of",Statutory Towns,56002,70580,1225,San Juan
"Norwood, Town of",Statutory Towns,57007,54880,950,San Miguel
"Ophir, Town of",Home Rule Municipalities,57008,55870,980,San Miguel
"Telluride, Town of",Home Rule Municipalities,57014,76795,1280,San Miguel
"Sawpit, Town of",Statutory Towns,57017,68655,1175,San Miguel
"Mountain Village, Town of",Home Rule Municipalities,57027,52550,926,San Miguel
"Julesburg, Town of",Statutory Towns,58004,39965,695,Sedgwick
"Ovid, Town of",Statutory Towns,58007,56475,1010,Sedgwick
"Sedgwick, Town of",Statutory Towns,58012,68930,1185,Sedgwick
"Blue River, Town of",Statutory Towns,59002,7410,97,Summit
"Breckenridge, Town of",Home Rule Municipalities,59004,8400,125,Summit
"Dillon, Town of",Home Rule Municipalities,59009,20440,330,Summit
"Frisco, Town of",Home Rule Municipalities,59015,28690,500,Summit
"Silverthorne, Town of",Home Rule Municipalities,59018,70525,1222,Summit
"Montezuma, Town of",Statutory Towns,59028,51690,905,Summit
