"Name","Filings","Type","LG ID","FIPS","Census MRF","Counties"
"Lochbuie, Town of",View Filings,Statutory Towns,62038,45530,813,"Adams, Weld"
"Log Lane Village, Town of",View Filings,Statutory Towns,44009,45695,815,Morgan
"Lone Tree, City of",View Filings,Home Rule Municipalities,18104,45955,817,Douglas
"Longmont, City of",View Filings,Home Rule Municipalities,64205,45970,820,"Boulder, Weld"
"Louisville, City of",View Filings,Home Rule Municipalities,7029,46355,825,Boulder
"Loveland, City of",View Filings,Home Rule Municipalities,35026,46465,830,Larimer
"Lyons, Town of",View Filings,Statutory Towns,7032,47070,835,Boulder
"Manassa, Town of",View Filings,Statutory Towns,11010,48060,840,Conejos
"Mancos, Town of",View Filings,Statutory Towns,42016,48115,845,Montezuma
"Manitou Springs, City of",View Filings,Home Rule Municipalities,21030,48445,850,El Paso
"Manzanola, Town of",View Filings,Statutory Towns,45009,48500,855,Otero
"Marble, Town of",View Filings,Statutory Towns,26010,48555,860,Gunnison
"Mead, Town of",View Filings,Statutory Towns,62040,49600,865,Weld
"Meeker, Town of",View Filings,Statutory Towns,52007,49875,875,Rio Blanco
"Merino, Town of",View Filings,Statutory Towns,38011,50040,880,Logan
"Milliken, Town of",View Filings,Statutory Towns,62043,50480,885,Weld
"Minturn, Town of",View Filings,Home Rule Municipalities,19024,50920,890,Eagle
"Moffat, Town of",View Filings,Statutory Towns,55005,51250,895,Saguache
"Monte Vista, City of",View Filings,Home Rule Municipalities,53005,51635,900,Rio Grande
"Montezuma, Town of",View Filings,Statutory Towns,59028,51690,905,Summit
"Montrose, City of",View Filings,Home Rule Municipalities,43004,51745,910,Montrose
"Monument, Town of",View Filings,Statutory Towns,21032,51800,915,El Paso
"Morrison, Town of",View Filings,Home Rule Municipalities,30065,52075,920,Jefferson
"Mountain View, Town of",View Filings,Home Rule Municipalities,30067,52350,925,Jefferson
"Mountain Village, Town of",View Filings,Home Rule Municipalities,57027,52550,926,San Miguel
"Mt. Crested Butte, Town of",View Filings,Home Rule Municipalities,26011,52570,928,Gunnison
"Naturita, Town of",View Filings,Statutory Towns,43005,53120,930,Montrose
"Nederland, Town of",View Filings,Statutory Towns,7033,53175,935,Boulder
"New Castle, Town of",View Filings,Home Rule Municipalities,23012,53395,940,Garfield
"Northglenn, City of",View Filings,Home Rule Municipalities,64198,54330,943,"Adams, Weld"
"Norwood, Town of",View Filings,Statutory Towns,57007,54880,950,San Miguel
"Nucla, Town of",View Filings,Statutory Towns,43007,54935,955,Montrose
"Nunn, Town of",View Filings,Statutory Towns,62045,55045,960,Weld
"Oak Creek, Town of",View Filings,Statutory Towns,54010,55155,965,Routt
"Olathe, Town of",View Filings,Statutory Towns,43012,55540,970,Montrose
"Olney Springs, Town of",View Filings,Statutory Towns,13004,55705,975,Crowley
"Ophir, Town of",View Filings,Home Rule Municipalities,57008,55870,980,San Miguel
"Orchard City, Town of",View Filings,Statutory Towns,15022,55980,985,Delta
"Ordway, Town of",View Filings,Statutory Towns,13006,56145,995,Crowley
"Otis, Town of",View Filings,Statutory Towns,61006,56365,1000,Washington
"Ouray, City of",View Filings,Home Rule Municipalities,46007,56420,1005,Ouray
"Ovid, Town of",View Filings,Statutory Towns,58007,56475,1010,Sedgwick
"Pagosa Springs, Town of",View Filings,Home Rule Municipalities,4006,56860,1015,Archuleta
"Palisade, Town of",View Filings,Statutory Towns,39034,56970,1020,Mesa
"Palmer Lake, Town of",View Filings,Statutory Towns,21034,57025,1025,El Paso
"Paoli, Town of",View Filings,Statutory Towns,48006,57245,1030,Phillips
"Paonia, Town of",View Filings,Statutory Towns,15025,57300,1035,Delta
"Parachute, Town of",View Filings,Home Rule Municipalities,23013,57400,1037,Garfield
"Parker, Town of",View Filings,Home Rule Municipalities,18028,57630,1039,Douglas
"Peetz, Town of",View Filings,Statutory Towns,38016,58235,1040,Logan
"Pierce, Town of",View Filings,Statutory Towns,62046,59005,1045,Weld
"Pitkin, Town of",View Filings,Statutory Towns,26012,59830,1050,Gunnison
"Platteville, Town of",View Filings,Statutory Towns,62050,60160,1055,Weld
"Poncha Springs, Town of",View Filings,Statutory Towns,8006,60600,1065,Chaffee
"Pritchett, Town of",View Filings,Statutory Towns,5006,61315,1075,Baca
"Pueblo, City of",View Filings,Home Rule Municipalities,51016,62000,1085,Pueblo
"Ramah, Town of",View Filings,Statutory Towns,21036,62660,1090,El Paso
"Rangely, Town of",View Filings,Statutory Towns,52015,62880,1095,Rio Blanco
"Raymer, Town of",View Filings,Statutory Towns,62051,63045,1100,Weld
"Red Cliff, Town of",View Filings,Statutory Towns,19026,63265,1110,Eagle
"Rico, Town of",View Filings,Home Rule Municipalities,17007,64090,1115,Dolores
"Ridgway, Town of",View Filings,Home Rule Municipalities,46009,64200,1120,Ouray
"Rifle, City of",View Filings,Home Rule Municipalities,23017,64255,1125,Garfield
"Rockvale, Town of",View Filings,Statutory Towns,22018,64970,1130,Fremont
"Rocky Ford, City of",View Filings,Statutory Cities,45014,65190,1135,Otero
"Romeo, Town of",View Filings,Statutory Towns,11013,65740,1140,Conejos
"Rye, Town of",View Filings,Statutory Towns,51018,66895,1150,Pueblo
"Saguache, Town of",View Filings,Statutory Towns,55008,67005,1155,Saguache
"Salida, City of",View Filings,Statutory Cities,8007,67280,1160,Chaffee
"San Luis, Town of",View Filings,Statutory Towns,12009,68105,1169,Costilla
"Sanford, Town of",View Filings,Home Rule Municipalities,11016,67830,1165,Conejos
"Sawpit, Town of",View Filings,Statutory Towns,57017,68655,1175,San Miguel
"Sedgwick, Town of",View Filings,Statutory Towns,58012,68930,1185,Sedgwick
"Seibert, Town of",View Filings,Statutory Towns,32015,69040,1190,Kit Carson
"Severance, Town of",View Filings,Statutory Towns,62053,69150,1195,Weld
"Sheridan Lake, Town of",View Filings,Statutory Towns,31008,69700,1205,Kiowa
"Sheridan, City of",View Filings,Home Rule Municipalities,3065,69645,1200,Arapahoe
"Silt, Town of",View Filings,Home Rule Municipalities,23019,70195,1210,Garfield
"Silver Cliff, Town of",View Filings,Statutory Towns,14004,70250,1215,Custer
"Silver Plume, Town of",View Filings,Statutory Towns,10009,70360,1220,Clear Creek
"Silverthorne, Town of",View Filings,Home Rule Municipalities,59018,70525,1222,Summit
"Silverton, Town of",View Filings,Statutory Towns,56002,70580,1225,San Juan
"Simla, Town of",View Filings,Statutory Towns,20006,70635,1230,Elbert
"Snowmass Village, Town of",View Filings,Home Rule Municipalities,49012,71755,1236,Pitkin
"South Fork, Town of",View Filings,Statutory Towns,53013,72395,1237,Rio Grande
"Springfield, Town of",View Filings,Statutory Towns,5011,73330,1240,Baca
"Starkville, Town of",View Filings,Statutory Towns,36010,73715,1245,Las Animas
"Steamboat Springs, City of",View Filings,Home Rule Municipalities,54023,73825,1250,Routt
"Sterling, City of",View Filings,Home Rule Municipalities,38019,73935,1255,Logan
"Stratton, Town of",View Filings,Statutory Towns,32020,74485,1260,Kit Carson
"Sugar City, Town of",View Filings,Statutory Towns,13007,74815,1265,Crowley
"Superior, Town of",View Filings,Statutory Towns,64183,75640,1270,"Boulder, Jefferson"
"Swink, Town of",View Filings,Statutory Towns,45015,75970,1275,Otero
"Telluride, Town of",View Filings,Home Rule Municipalities,57014,76795,1280,San Miguel
"Thornton, City of",View Filings,Home Rule Municipalities,64264,77290,1285,"Adams, Weld"
"Timnath, Town of",View Filings,Home Rule Municipalities,35044,77510,1290,"Larimer, Weld"
"Trinidad, City of",View Filings,Home Rule Municipalities,36011,78610,1295,Las Animas
"Two Buttes, Town of",View Filings,Statutory Towns,5016,79270,1300,Baca
"Vail, Town of",View Filings,Home Rule Municipalities,19038,80040,1307,Eagle
"Victor, City of",View Filings,Statutory Cities,60012,80865,1310,Teller
"Vilas, Town of",View Filings,Statutory Towns,5019,81030,1315,Baca
"Vona, Town of",View Filings,Statutory Towns,32023,81690,1320,Kit Carson
"Walden, Town of",View Filings,Statutory Towns,29006,82130,1325,Jackson
"Walsenburg, City of",View Filings,Statutory Cities,28010,82350,1330,Huerfano
"Walsh, Town of",View Filings,Statutory Towns,5023,82460,1335,Baca
"Ward, Town of",View Filings,Home Rule Municipalities,7042,82735,1340,Boulder
"Wellington, Town of",View Filings,Statutory Towns,35047,83230,1345,Larimer
"Westcliffe, Town of",View Filings,Statutory Towns,14005,83450,1350,Custer
"Westminster, City of",View Filings,Home Rule Municipalities,64153,83835,1355,"Adams, Jefferson"
"Wheat Ridge, City of",View Filings,Home Rule Municipalities,30093,84440,1360,Jefferson
"Wiggins, Town of",View Filings,Statutory Towns,44016,84770,1363,Morgan
"Wiley, Town of",View Filings,Statutory Towns,50017,85045,1365,Prowers
"Williamsburg, Town of",View Filings,Statutory Towns,22019,85155,1370,Fremont
"Windsor, Town of",View Filings,Home Rule Municipalities,64225,85485,1375,"Larimer, Weld"
"Winter Park, Town of",View Filings,Home Rule Municipalities,25025,85705,1377,Grand
"Woodland Park, City of",View Filings,Home Rule Municipalities,60015,86090,1380,Teller
"Wray, City of",View Filings,Home Rule Municipalities,63010,86310,1385,Yuma
"Yampa, Town of",View Filings,Statutory Towns,54030,86475,1390,Routt
"Yuma, City of",View Filings,Home Rule Municipalities,63017,86750,1395,Yuma
