"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Kit Carson Division,1935499,Civil,Cheyenne,CO,384932N,1025113W,4390,Kit Carson,,26-SEP-2001
Kremmling Division,1935500,Civil,Grand,CO,400528N,1061759W,7526,Junction Butte,,26-SEP-2001
La Jara Division,1935502,Civil,Conejos,CO,371720N,1055539W,7588,La Jara,,26-SEP-2001
La Junta Division,1935503,Civil,Otero,CO,375839N,1033538W,4163,La Junta,,26-SEP-2001
La Plata County,198148,Civil,La Plata,CO,371712N,1075036W,7057,Durango East,,01-FEB-1993
La Salle-Gilcrest Division,1935507,Civil,Weld,CO,401816N,1044340W,4724,La Salle,,26-SEP-2001
La Veta Division,1935509,Civil,Huerfano,CO,373006N,1050245W,7211,La Veta,,26-SEP-2001
Lafayette-Louisville Division,1935501,Civil,Boulder,CO,395955N,1050633W,5315,Lafayette,,26-SEP-2001
Lake City Division,1935504,Civil,Hinsdale,CO,374917N,1071801W,10643,Finger Mesa,,26-SEP-2001
Lake County,198149,Civil,Lake,CO,391209N,1062041W,9459,Leadville South,,01-FEB-1993
Lake George Division,1935505,Civil,Park,CO,385245N,1053636W,9465,Spinney Mountain,,26-SEP-2001
Lamar Division,1935506,Civil,Prowers,CO,380831N,1023655W,3678,May Valley,,26-SEP-2001
Larimer County,198150,Civil,Larimer,CO,403959N,1052740W,7096,Big Narrows,,01-FEB-1993
Las Animas County,198151,Civil,Las Animas,CO,371857N,1040219W,5226,Lambing Spring,,01-FEB-1993
Las Animas Division,1935508,Civil,Bent,CO,380902N,1031524W,4117,McIntosh Ranch,,26-SEP-2001
Leadville Division,1935510,Civil,Lake,CO,390914N,1062130W,9744,Leadville South,,26-SEP-2001
Leadville North Division,1935511,Civil,Lake,CO,391851N,1061849W,10200,Leadville North,,26-SEP-2001
Limon Division,1935512,Civil,Lincoln,CO,392048N,1033608W,5640,Genoa West,,26-SEP-2001
Lincoln County,198152,Civil,Lincoln,CO,385917N,1033050W,5171,Beckman Lake,,01-FEB-1993
Livermore Division,1935514,Civil,Larimer,CO,404614N,1053857W,8960,South Bald Mountain,,26-SEP-2001
Logan County,198153,Civil,Logan,CO,404329N,1030636W,3862,Galien,,01-FEB-1993
Longmont Division,1935515,Civil,Boulder,CO,401041N,1051053W,5072,Hygiene,,26-SEP-2001
Loveland Division,1935516,Civil,Larimer,CO,402553N,1051120W,5207,Masonville,,26-SEP-2001
Luis Maria Baca Number 4,192397,Civil,Saguache,CO,375630N,1054132W,7762,Crestone,,13-OCT-1978
Manassa Division,1935518,Civil,Conejos,CO,371037N,1055813W,7713,Manassa,,26-SEP-2001
Mancos Division,1935519,Civil,Montezuma,CO,372101N,1081819W,7037,Mancos,,26-SEP-2001
Manzanola Division,1935520,Civil,Otero,CO,380537N,1035207W,4324,Manzanola,,26-SEP-2001
Maybell-Powder Wash Division,1935521,Civil,Moffat,CO,404414N,1082532W,6138,Clay Buttes,,26-SEP-2001
McClave Division,1935517,Civil,Bent,CO,381044N,1025620W,4153,Lubers,,26-SEP-2001
Meeker Division,1935522,Civil,Rio Blanco,CO,395905N,1075355W,6932,LO 7 Hill,,26-SEP-2001
Merino Division,1935523,Civil,Logan,CO,403128N,1032412W,4249,Willard,,26-SEP-2001
