"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Full","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment"
Eckley,23025,G,2412464,G,63003,G,Eckley,Eckley,G,CO0163001,G,,x,Yuma,1,South Platte,1,40.112252,-102.488307,,http://townofeckley.weebly.com/,G,
Edgewater,23135,G,2410399,G,30020,G,Edgewater,Edgewater,G,CO0130237,G,,x,Jefferson,1,Metro,1,39.750853,-105.062633,,http://www.edgewaterco.com/,G,
Elizabeth,23740,G,2412474,G,20004,G,Elizabeth,Elizabeth,G,CO0120010,G,,x,Elbert,1,South Platte,1,39.361015,-104.606172,,http://www.townofelizabeth.org/,G,New BNDSS ID; did not have an ID in original BNDSS
Empire,24620,G,2412485,G,10005,G,Empire,Empire,G,CO0110010,G,,x,Clear Creek,1,South Platte,1,39.759449,-105.682783,,"https://en.wikipedia.org/wiki/Empire,_Colorado",g,
Englewood,24785,G,2410441,G,03041,G,Englewood,Englewood,G,CO0103045,G,,x,Arapahoe,1,Metro,1,39.646791,-104.994293,,http://www.englewoodco.gov/,G,
Erie,24950,G,2412599,G,64060,G,Erie,Erie,G,CO0162255,G,,x,"Boulder, Weld",2,South Platte,1,40.040157,-105.040252,,https://www.erieco.gov/,G,
Estes Park,25115,G,2412603,G,35004,G,EstesPark,EstesPark,G,CO0135257,G,,x,Larimer,1,South Platte,1,40.369870,-105.521623,,https://www.colorado.gov/townofestespark,G,
Evans,25280,G,2410467,G,62011,G,Evans,Evans,G,CO0162260,G,,x,Weld,1,South Platte,1,40.366034,-104.738911,,http://www.evanscolorado.gov/,G,
Fairplay,25610,G,2412616,G,47005,G,Fairplay,Fairplay,G,CO0147020,G,,x,Park,1,South Platte,1,39.224496,-105.996948,,http://fairplayco.us/,G,
Federal Heights,26270,G,2410493,G,01009,G,FederalHts,FederalHeights,G,CO0101055,G,,x,Adams,1,Metro,1,39.865026,-105.015469,,http://www.fedheights.org/,G,
