Municipality_Name,FIPS_ID,LocalGovt_ID,BNDSS_ID,PWS_ID,County,Basin,Comment
Julesburg,39965,58004,Julesburg,CO0158001,Sedgwick,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Keenesburg,40185,62033,Keenesburg,CO0162438,Weld,South Platte,
Kersey,40515,62035,Kersey,CO0055558,Weld,South Platte,
Kim,40570,36005,Kim,CO0136400,Las Animas,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Kiowa,40790,20005,Kiowa,CO0120015,Elbert,Metro,
Kit Carson,41010,9013,KitCarson,CO0109011,Cheyenne,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Kremmling,41560,25018,Kremmling,CO0125455,Grand,Colorado,
La Jara,42055,11009,LaJara,CO0111600,Conejos,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
La Junta,42110,45007,LaJunta,CO0145420,Otero,Arkansas,
La Salle,43605,62037,LaSalle,CO0162466,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
La Veta,44100,28007,LaVeta,CO0128500,Huerfano,Arkansas,
Lafayette,41835,7020,Lafayette,CO0107473,Boulder,South Platte,
Lake City,42330,27005,LakeCity,CO0127467,Hinsdale,Gunnison,
Lakeside,42495,30053,Lakeside,NaN,Jefferson,Metro,New BNDSS ID; did not have an ID in original BNDSS
Lakewood,43000,30055,Lakewood,CO0130467,Jefferson,Metro,
Lamar,43110,50012,Lamar,CO0150700,Prowers,Arkansas,
Larkspur,43550,18021,Larkspur,CO0118030,Douglas,Metro,New BNDSS ID; did not have an ID in original BNDSS
Las Animas,43660,6005,LasAnimas,CO0106300,Bent,Arkansas,
Leadville,44320,33004,Leadville,NaN,Lake,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Limon,44980,37007,Limon,CO0137015,Lincoln,Arkansas,
Littleton,45255,64085,Littleton,CO0103476,"Arapahoe, Douglas, Jefferson",Metro,
Lochbuie,45530,62038,Lochbuie,CO0162486,"Adams, Weld","Metro, South Platte",
Log Lane Village,45695,44009,LogLaneVlg,CO0144015,Morgan,South Platte,
Lone Tree,45955,18104,LoneTree,NaN,Douglas,Metro,New BNDSS ID; did not have an ID in original BNDSS
Longmont,45970,64205,Longmont,CO0107485,"Boulder, Weld",South Platte,
Louisville,46355,7029,Louisville,CO0107487,Boulder,South Platte,
Loveland,46465,35026,Loveland,CO0135485,Larimer,South Platte,
Lyons,47070,7032,Lyons,CO0107496,Boulder,South Platte,
Manassa,48060,11010,Manassa,CO0111700,Conejos,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Mancos,48115,42016,Mancos,CO0142700,Montezuma,Southwest,
Manitou Springs,48445,21030,ManitouSpgs,CO0121450,El Paso,Arkansas,
Manzanola,48500,45009,Manzanola,CO0145450,Otero,Arkansas,
Marble,48555,26010,Marble,NaN,Gunnison,Gunnison,New BNDSS ID; did not have an ID in original BNDSS
Mead,49600,62040,Mead,CO0162500,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Meeker,49875,52007,Meeker,CO0152505,Rio Blanco,Yampa,
Merino,50040,38011,Merino,CO0138025,Logan,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Milliken,50480,62043,Milliken,CO0162511,Weld,South Platte,
Minturn,50920,19024,Minturn,CO0119510,Eagle,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Moffat,51250,55005,Moffat,NaN,Saguache,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Monte Vista,51635,53005,MonteVista,CO0153600,Rio Grande,Rio Grande,
Montezuma,51690,59028,Montezuma,NaN,Summit,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Montrose,51745,43004,Montrose,CO0143518,Montrose,Colorado,
Monument,51800,21032,Monument,CO0121475,El Paso,Arkansas,
Morrison,52075,30065,Morrison,CO0130085,Jefferson,Metro,
Mount Crested Butte,52570,26011,MtCrestedButte,NaN,Gunnison,Gunnison,
Mountain View,52350,30067,MtnView,CO0130518,Jefferson,Metro,
Mountain Village,52550,57027,MtnVillage,CO0157400,San Miguel,Southwest,New BNDSS ID; did not have an ID in original BNDSS
Naturita,53120,43005,Naturita,CO0143533,Montrose,Southwest,New BNDSS ID; did not have an ID in original BNDSS
Nederland,53175,7033,Nederland,CO0107538,Boulder,South Platte,New BNDSS ID; did not have an ID in original BNDSS
New Castle,53395,23012,NewCastle,CO0123538,Garfield,Colorado,
Northglenn,54330,64198,Northglenn,CO0101115,"Adams, Weld","Metro, South Platte",
Norwood,54880,57007,Norwood,NaN,San Miguel,Southwest,
Nucla,54935,43007,Nucla,CO0143559,Montrose,Southwest,
Nunn,55045,62045,Nunn,CO0162559,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Oak Creek,55155,54010,OakCrk,CO0154566,Routt,Yampa,
Olathe,55540,43012,Olathe,CO0143582,Montrose,Gunnison,
Olney Springs,55705,13004,OlneySpgs,CO0113500,Crowley,Arkansas,
Ophir,55870,57008,Ophir,CO0157600,San Miguel,Southwest,New BNDSS ID; did not have an ID in original BNDSS
Orchard City,55980,15022,OrchardCity,CO0115588,Delta,Gunnison,
Ordway,56145,13006,Ordway,CO0113700,Crowley,Arkansas,
Otis,56365,61006,Otis,CO0161010,Washington,South Platte,
Ouray,56420,46007,Ouray,CO0146588,Ouray,Gunnison,
Ovid,56475,58007,Ovid,CO0158005,Sedgwick,South Platte,
Pagosa Springs,56860,4006,PagosaSpgs,NaN,Archuleta,Southwest,
Palisade,56970,39034,Palisade,CO0139600,Mesa,Colorado,
Palmer Lake,57025,21034,PalmerLake,CO0121575,El Paso,Arkansas,
Paoli,57245,48006,Paoli,CO0148010,Phillips,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Paonia,57300,15025,Paonia,CO0115601,Delta,Gunnison,
Parachute,57400,23013,Parachute,CO0123602,Garfield,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Parker,57630,18028,Parker,NaN,Douglas,Metro,New BNDSS ID; did not have an ID in original BNDSS
Peetz,58235,38016,Peetz,CO0138030,Logan,South Platte,
Pierce,59005,62046,Pierce,CO0162610,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Pitkin,59830,26012,Pitkin,NaN,Gunnison,Gunnison,New BNDSS ID; did not have an ID in original BNDSS
Platteville,60160,62050,Platteville,CO0162615,Weld,South Platte,
Poncha Springs,60600,8006,PonchaSpgs,CO0108650,Chaffee,Arkansas,
Pritchett,61315,5006,Pritchett,CO0105300,Baca,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Pueblo,62000,51016,PuebloBWW,CO0151500,Pueblo,Arkansas,
Ramah,62660,21036,Ramah,CO0121675,El Paso,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Rangely,62880,52015,Rangely,CO0152666,Rio Blanco,Yampa,
Raymer,63045,62051,Raymer,CO0162666,Weld,South Platte,New BNDSS ID; did not have an ID in original BNDSS
Red Cliff,63265,19026,RedCliff,CO0119671,Eagle,Colorado,New BNDSS ID; did not have an ID in original BNDSS
Rico,64090,17007,Rico,CO0117700,Dolores,Southwest,
Ridgway,64200,46009,Ridgway,CO0146676,Ouray,Gunnison,
Rifle,64255,23017,Rifle,CO0123676,Garfield,Colorado,
Rockvale,64970,22018,Rockvale,CO0122800,Fremont,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Rocky Ford,65190,45014,RockyFord,CO0145600,Otero,Arkansas,
Romeo,65740,11013,Romeo,CO0111800,Conejos,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
Rye,66895,51018,Rye,CO0151700,Pueblo,Arkansas,New BNDSS ID; did not have an ID in original BNDSS
Saguache,67005,55008,Saguache,CO0155800,Saguache,Rio Grande,New BNDSS ID; did not have an ID in original BNDSS
